date,mortgage_rate_75ltv_2y
2004-01-31,4.95
2004-02-29,4.89
2004-03-31,4.9
2004-04-30,5.11
2004-05-31,5.18
2004-06-30,5.52
2004-07-31,5.53
2004-08-31,5.47
2004-09-30,5.33
2004-10-31,5.29
2004-11-30,5.06
2004-12-31,5.07
2005-01-31,4.99
2005-02-28,5.07
2005-03-31,5.2
2005-04-30,5.16
2005-05-31,4.91
2005-06-30,4.77
2005-07-31,4.59
2005-08-31,4.56
2005-09-30,4.52
2005-10-31,4.54
2005-11-30,4.74
2005-12-31,4.74
2006-01-31,4.62
2006-02-28,4.71
2006-03-31,4.72
2006-04-30,4.77
2006-05-31,5.0
2006-06-30,5.0
2006-07-31,5.01
2006-08-31,5.1
2006-09-30,5.1
2006-10-31,4.99
2006-11-30,5.2
2006-12-31,5.15
2007-01-31,5.32
2007-02-28,5.46
2007-03-31,5.55
2007-04-30,5.62
2007-05-31,5.7
2007-06-30,5.98
2007-07-31,6.07
2007-08-31,6.11
2007-09-30,6.05
2007-10-31,6.11
2007-11-30,6.09
2007-12-31,6.06
2008-01-31,5.97
2008-02-29,5.74
2008-03-31,5.8
2008-04-30,6.06
2008-05-31,6.26
2008-06-30,6.6
2008-07-31,6.35
2008-08-31,6.08
2008-09-30,5.96
2008-10-31,5.83
2008-11-30,5.1
2008-12-31,4.77
2009-01-31,4.35
2009-02-28,4.35
2009-03-31,3.98
2009-04-30,4.02
2009-05-31,3.98
2009-06-30,4.45
2009-07-31,4.42
2009-08-31,4.43
2009-09-30,4.47
2009-10-31,4.32
2009-11-30,4.1
2009-12-31,4.05
2010-01-31,3.97
2010-02-28,3.88
2010-03-31,3.92
2010-04-30,3.82
2010-05-31,3.78
2010-06-30,3.67
2010-07-31,3.77
2010-08-31,3.74
2010-09-30,3.8
2010-10-31,3.68
2010-11-30,3.53
2010-12-31,3.5
2011-01-31,3.7
2011-02-28,3.7
2011-03-31,3.68
2011-04-30,3.66
2011-05-31,3.51
2011-06-30,3.36
2011-07-31,3.14
2011-08-31,3.0
2011-09-30,2.92
2011-10-31,3.04
2011-11-30,3.14
2011-12-31,3.22
2012-01-31,3.27
2012-02-29,3.37
2012-03-31,3.44
2012-04-30,3.66
2012-05-31,3.68
2012-06-30,3.74
2012-07-31,3.67
2012-08-31,3.69
2012-09-30,3.67
2012-10-31,3.49
2012-11-30,3.43
2012-12-31,3.35
2013-01-31,3.11
2013-02-28,2.92
2013-03-31,2.9
2013-04-30,2.87
2013-05-31,2.69
2013-06-30,2.63
2013-07-31,2.62
2013-08-31,2.58
2013-09-30,2.54
2013-10-31,2.48
2013-11-30,2.44
2013-12-31,2.4
2014-01-31,2.37
2014-02-28,2.38
2014-03-31,2.37
2014-04-30,2.54
2014-05-31,2.56
2014-06-30,2.6
2014-07-31,2.54
2014-08-31,2.54
2014-09-30,2.46
2014-10-31,2.21
2014-11-30,2.17
2014-12-31,2.08
2015-01-31,2.01
2015-02-28,1.96
2015-03-31,1.99
2015-04-30,1.95
2015-05-31,1.9
2015-06-30,1.83
2015-07-31,1.87
2015-08-31,1.95
2015-09-30,1.91
2015-10-31,1.87
2015-11-30,1.92
2015-12-31,1.9
2016-01-31,1.93
2016-02-29,1.95
2016-03-31,1.9
2016-04-30,1.84
2016-05-31,1.91
2016-06-30,1.75
2016-07-31,1.72
2016-08-31,1.69
2016-09-30,1.59
2016-10-31,1.52
2016-11-30,1.43
2016-12-31,1.45
2017-01-31,1.45
2017-02-28,1.42
2017-03-31,1.37
2017-04-30,1.35
2017-05-31,1.49
2017-06-30,1.48
2017-07-31,1.41
2017-08-31,1.43
2017-09-30,1.4
2017-10-31,1.55
2017-11-30,1.61
2017-12-31,1.57
